GEOID,Town,Tot_pop,year,Income Under $25k,Income $25k - $50k,Income $50k - $100k,Income $100k +,own_no_veh,rent_no_veh,emp_insured,emp_uninsured,unemp_insured,unemp_uninsured,tot_lf,nilf_insured,nilf_uninsured,tot_ins_inc_pop,ins_U25,no_ins_U25,ins_25_50,no_ins_25_50,ins_50_75,no_ins_50_75,ins_75_100,no_ins_75_100,ins_100_above,no_ins_100_above,all_ins,all_unins,ins_U18,ins_19_25,ins_26_34,ins_35_64,ins_65_over,unins_U18,unins_19_25,unins_26_34,unins_35_64,unins_65_over,emp_based_ins,dir_purchase_ins,medicare_cov,medicaid_cov,tricare_cov,VA_cov,other_cov_type
3714700,Cornelius,28052,2017,1670,1985,3247,5080,105,64,12599,1015,494,203,14311,2531,450,28007,2303,399,3103,331,2983,374,3716,419,13715,664,25828,2187,6245,1369,2951,11304,3959,452,172,321,1175,67,14332,2758,3383,1167,271,53,1066
3716400,Davidson,12325,2017,420,382,904,2434,24,39,5221,390,217,12,5840,1591,61,10763,655,29,675,211,1049,74,802,77,7083,108,11689,554,3191,1723,800,4506,1469,91,115,75,273,0,6490,1135,1240,487,48,14,407
3733120,Huntersville,53302,2017,1819,2811,5768,9117,126,259,24907,1965,561,395,27828,4453,455,52992,2471,702,4854,857,6365,627,7395,772,28528,421,49627,3389,15113,2279,5595,22047,4593,536,236,700,1879,38,31261,3830,3737,2112,560,27,2224
3714700,Cornelius,28649,2018,1711,1748,3273,5362,71,114,12833,1146,416,140,14535,2688,519,28576,2259,536,2768,362,2936,405,3736,149,14518,907,26225,2359,6461,1368,2746,11823,3827,501,97,439,1269,53,15227,2966,3214,1072,281,54,1191
3716400,Davidson,12666,2018,320,430,896,2627,36,56,5218,310,159,0,5687,1639,35,11065,398,41,722,142,1029,29,758,111,7743,92,12158,431,3546,1621,735,4660,1596,86,38,102,205,0,7153,1177,1269,454,24,14,413
3733120,Huntersville,54572,2018,1704,2792,5700,9656,114,277,25458,1693,588,285,28024,4776,543,54266,2589,708,5007,962,6237,554,7041,379,30200,589,51087,3204,15528,2314,6067,22441,4737,645,237,649,1635,38,31463,4085,3895,2607,519,48,2076
3714700,Cornelius,29256,2019,1692,1632,3233,5750,79,147,12809,1129,346,167,14451,2869,387,29178,2343,455,2682,227,3417,346,3053,196,15441,1018,26943,2242,6587,1682,2160,12182,4332,492,115,497,1071,67,15836,3045,3643,1204,222,96,1252
3716400,Davidson,12735,2019,310,558,851,2617,38,49,5178,301,125,21,5625,1674,37,11109,408,39,894,166,1230,80,600,27,7542,123,12231,435,3535,1659,645,4673,1719,61,7,123,229,15,6831,1481,1325,508,41,13,482
3733120,Huntersville,55980,2019,1715,2612,5506,10241,76,383,25379,1723,670,178,27950,5117,602,55682,2704,568,4765,840,6265,538,6715,467,31987,833,52450,3258,15894,2698,5697,22771,5390,697,225,542,1736,58,31936,3963,4576,2963,639,38,2164
3714700,Cornelius,30925,2021,1368,2165,3215,6165,122,225,12865,1134,406,170,14575,3096,379,30920,1796,311,3275,495,2974,246,3598,270,17064,891,28712,2213,6957,1808,1924,12635,5388,495,103,503,1077,35,16915,2500,4565,1578,224,154,1494
3716400,Davidson,14644,2021,485,503,970,3334,20,103,5905,406,137,28,6476,2064,87,13012,755,201,611,64,1226,60,797,14,8999,285,13950,639,3601,1907,686,5513,2243,95,18,156,347,23,8361,1759,1668,553,59,9,561
3733120,Huntersville,60166,2021,1615,2775,6325,11636,150,494,26870,1888,622,415,29795,5680,389,59914,2369,598,5570,583,5600,684,7831,473,35109,1097,56495,3448,16246,2992,4843,25337,7077,747,252,963,1477,9,35282,4334,5889,2942,505,77,2549
3714700,Cornelius,31396,2022,1079,2181,2811,7281,182,225,13772,877,338,129,15116,2932,273,31392,1267,248,3409,379,2896,118,2724,179,19459,713,29759,1637,6874,1855,2405,12782,5843,322,82,400,797,36,17679,2560,4699,1106,139,145,1721
3716400,Davidson,15199,2022,439,512,955,3604,37,229,6179,375,128,23,6705,2407,66,13601,704,178,653,45,1187,55,652,13,9836,278,14554,581,3567,2029,680,6005,2273,98,15,140,309,19,8973,1637,1743,513,39,0,529
3733120,Huntersville,61202,2022,1461,2498,5923,13092,153,544,28351,1899,851,443,31544,5075,406,60889,1994,619,4854,473,6253,760,6366,258,37985,1327,57485,3450,15523,3413,5247,25617,7685,693,298,1036,1414,9,35450,4282,6506,2700,392,111,2697
3714700,Cornelius,32009,2023,1030,2109,2619,7860,164,216,13829,852,412,100,15193,2947,277,32006,1246,261,3107,425,2774,73,2707,130,20624,659,30461,1548,7069,1855,2434,12899,6204,263,84,337,808,56,18204,2498,5063,1328,40,186,1479
3716400,Davidson,14852,2023,566,337,764,3660,77,209,6049,252,235,27,6563,2235,74,13178,805,162,424,36,777,66,595,12,10096,205,14294,492,3444,1897,630,5992,2331,116,13,60,280,23,8863,1591,1805,611,99,0,512
3733120,Huntersville,62458,2023,1114,2665,5660,14265,231,495,29602,1769,756,443,32570,4747,536,62091,1390,237,5206,362,5218,787,6064,199,40958,1670,58880,3269,15919,3535,5403,26167,7856,490,268,955,1525,31,36709,3995,6567,2747,256,76,2789
3714700,Cornelius,32783,2024,1146,2054,2814,7870,174,228,14475,860,377,0,15712,2816,293,32753,1522,391,2725,424,2911,79,2826,105,21208,562,31193,1561,7027,2083,2950,12635,6498,352,49,326,778,56,17192,2894,5651,1424,137,93,1537
3716400,Davidson,15660,2024,577,475,737,3800,79,224,6325,269,270,2,6866,2465,55,13857,817,160,575,177,482,0,769,12,10691,174,15059,534,3586,2017,672,6371,2413,207,13,34,279,1,9477,1278,1869,748,75,0,649
3733120,Huntersville,63969,2024,1179,2423,6331,15122,228,471,31116,1775,713,421,34025,4773,338,63577,1417,152,4682,414,5513,696,6390,349,42456,1508,60525,3130,15555,3197,6523,26882,8368,517,247,947,1340,79,36979,4404,6698,2407,196,78,3103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
